,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
21,6 Series,Petrol,2.0L,Automatic,"25,657 miles",5,248 bhp,2018 (68),42.8,Hatchback,BLUE,1.0,Euro 6,£199,"£29,700",152 g/km,,,,
22,X3,Diesel,2.0L,Automatic,"41,753 miles",5,188 bhp,2018 (68),54.3,Estate,WHITE,1.0,Euro 6,£199,"£29,600",138 g/km,,,,
23,6 Series,Diesel,3.0L,Automatic,"54,947 miles",2,308 bhp,2017 (17),52.3,Coupe,WHITE,2.0,Euro 6,£199,"£29,600",143 g/km,14-07-2022,,,
24,6 Series,Petrol,2.0L,Automatic,"20,996 miles",5,248 bhp,2018 (68),42.8,Hatchback,WHITE,2.0,Euro 6,£199,"£29,600",152 g/km,,,,
25,6 Series,Diesel,3.0L,Automatic,"26,639 miles",4,308 bhp,2017 (67),49.6,Coupe,SPACE GREY,1.0,Euro 6,£199,"£29,450",152 g/km,13-09-2022,IVORY WHITE DAKOTA LEATHER,,
26,5 Series,Diesel,2.0L,Automatic,"19,167 miles",4,188 bhp,2018 (68),65.7,Saloon,BLACK,,Euro 6,£199,"£29,400",114 g/km,05-10-2022,,,
27,X3,Diesel,2.0L,Automatic,"44,457 miles",5,188 bhp,2018 (67),54.3,Estate,Phytonic Blue Metallic,1.0,Euro 6,£199,"£29,100",138 g/km,30-01-2022,Vernasca Leather,,
28,6 Series,Diesel,3.0L,Automatic,"44,013 miles",5,261 bhp,2018 (68),53.3,Hatchback,GREY,1.0,Euro 6,£199,"£29,100",139 g/km,16-10-2022,,,
29,3 Series,Petrol,2.0L,Automatic,"11,249 miles",4,181 bhp,2020 (69),42.2,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£29,000",129 g/km,,,,
30,6 Series,Petrol,3.0L,Automatic,"51,046 miles",2,315 bhp,2017 (67),35.8,Convertible,CARBON BLACK,1.0,Euro 6,£199,"£29,000",184 g/km,24-09-2022,BLACK DAKOTA LEATHER,,
31,6 Series,Diesel,3.0L,Automatic,"28,229 miles",5,261 bhp,2018 (18),53.3,Hatchback,BLUE,1.0,Euro 6,£199,"£28,900",139 g/km,14-10-2022,,,
32,6 Series,Petrol,3.0L,Automatic,"28,680 miles",2,315 bhp,2015 (65),35.8,Convertible,WHITE,2.0,Euro 6,£199,"£28,900",184 g/km,01-12-2021,,,
33,X5,Diesel,3.0L,Automatic,"60,263 miles",5,255 bhp,2015 (15),47.1,Estate,BLACK,,Euro 6,£199,"£28,700",158 g/km,20-08-2022,,,
34,6 Series,Petrol,2.0L,Automatic,"34,217 miles",5,248 bhp,2018 (68),42.8,Hatchback,BLUE,1.0,Euro 6,£199,"£28,700",152 g/km,28-10-2022,,,
35,X5,Diesel,3.0L,Automatic,"42,545 miles",5,255 bhp,2014 (64),47.1,Estate,GREY,1.0,Euro 6,£199,"£28,600",158 g/km,11-12-2021,,,
36,X3,Diesel,3.0L,Automatic,"19,925 miles",5,308 bhp,2016 (66),47.1,Estate,WHITE,,Euro 6,£199,"£28,600",157 g/km,29-10-2022,MOCHA DAKOTA LEATHER,,
37,X5,Hybrid Petrol,2.0L,Automatic,"55,140 miles",5,,2016 (16),,Estate,BLACK,,Euro 6,£199,"£28,500",77 g/km,05-07-2022,,,
38,3 Series,Petrol,2.0L,Automatic,"21,837 miles",4,255 bhp,2019 (19),41.5,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£28,500",134 g/km,,,,
39,X2,Petrol,2.0L,Automatic,"15,424 miles",5,189 bhp,2019 (19),39.2,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£28,100",134 g/km,,BLACK DAKOTA LEATHER,,
40,7 Series,Diesel,3.0L,Automatic,"44,615 miles",4,261 bhp,2017 (17),57.7,Saloon,BLACK,2.0,Euro 6,£199,"£28,000",129 g/km,02-06-2022,,,
41,3 Series,Petrol,2.0L,Automatic,"12,724 miles",4,181 bhp,2019 (19),42.2,Saloon,Portimao Blue - Metallic,1.0,Euro 6,£199,"£28,000",129 g/km,,,,
42,X1,Petrol,2.0L,Automatic,"24,484 miles",5,189 bhp,2019 (69),48.7,Estate,MINERAL WHITE,1.0,Euro 6,£199,"£28,000",129 g/km,,,,
43,6 Series,Diesel,3.0L,Automatic,"26,166 miles",4,308 bhp,2018 (18),49.6,Coupe,BLACK,2.0,Euro 6,£199,"£28,000",152 g/km,09-05-2022,,,
44,X4,Diesel,2.0L,Automatic,"35,720 miles",4,188 bhp,2017 (67),54.3,Coupe,BLACK SAPPHIRE,1.0,Euro 6,£199,"£27,800",138 g/km,23-05-2022,,,
45,3 Series,Petrol,2.0L,Automatic,"11,412 miles",5,181 bhp,2019 (19),47.9,Estate,MINERAL GREY,1.0,Euro 6,£199,"£27,600",138 g/km,,,,
46,X4,Diesel,3.0L,Automatic,"31,885 miles",4,255 bhp,2016 (16),47.9,Coupe,MELBOURNE RED,2.0,Euro 6,£199,"£27,500",156 g/km,21-10-2022,BLACK NEVADA LEATHER,,
47,3 Series,Petrol,2.0L,Automatic,"11,080 miles",5,181 bhp,2019 (19),47.9,Estate,BLUE,1.0,Euro 6,£199,"£27,500",138 g/km,,,,
48,5 Series,Diesel,3.0L,Automatic,"37,477 miles",4,261 bhp,2017 (67),60.1,Saloon,BLUE,1.0,Euro 6,£199,"£27,400",124 g/km,03-09-2022,,,
49,6 Series,Petrol,3.0L,Automatic,"18,841 miles",4,,2017 (67),,Coupe,SILVER,,,£199,"£27,400",182 g/km,,,,
50,X5,Diesel,3.0L,Automatic,"65,445 miles",5,255 bhp,2015 (65),47.1,Estate,BLACK,,Euro 6,£199,"£27,300",158 g/km,28-07-2022,,,
51,6 Series,Diesel,2.0L,Automatic,"27,656 miles",5,188 bhp,2018 (68),44.1,Hatchback,GREY,1.0,Euro 6,£199,"£27,250",128 g/km,23-09-2022,,,
52,4 Series,Petrol,2.0L,Automatic,"12,093 miles",4,181 bhp,2018 (68),45.6,Coupe,GREY,1.0,Euro 6,£199,"£27,200",144 g/km,,,,
53,1M,Petrol,3.0L,Automatic,"19,499 miles",5,335 bhp,2018 (68),39.8,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£27,000",163 g/km,27-09-2022,BLACK DAKOTA LEATHER,,
54,1M,Petrol,3.0L,Automatic,"14,655 miles",5,335 bhp,2018 (18),39.8,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£27,000",163 g/km,31-10-2022,,,
55,5 Series,Diesel,2.0L,Automatic,"45,512 miles",5,188 bhp,2018 (18),55.4,Estate,WHITE,1.0,Euro 6,£199,"£27,000",134 g/km,05-08-2022,,,
56,3 Series,Petrol,2.0L,Automatic,"13,977 miles",5,181 bhp,2019 (19),47.9,Estate,ESTORIL BLUE,1.0,Euro 6,£199,"£27,000",138 g/km,11-10-2022,BLACK DAKOTA LEATHER,,
57,X2,Petrol,1.5L,Manual,"7,038 miles",5,138 bhp,2019 (69),42.8,Hatchback,WHITE,1.0,Euro 6,£199,"£26,500",130 g/km,,,,
58,3 Series,Petrol,2.0L,Automatic,"26,457 miles",4,181 bhp,2019 (19),42.2,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£26,500",129 g/km,,BLACK VERNASCA LEATHER,,
59,X4,Diesel,3.0L,Automatic,"27,573 miles",4,255 bhp,2016 (66),47.9,Coupe,MELBOURNE RED,2.0,Euro 6,£199,"£26,500",156 g/km,25-04-2022,BLACK NEVADA LEATHER,,
60,1M,Petrol,3.0L,Automatic,"21,171 miles",5,335 bhp,2018 (68),39.8,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£26,500",163 g/km,27-09-2022,,,
61,5 Series,Diesel,2.0L,Automatic,"61,698 miles",5,188 bhp,2018 (68),62.8,Estate,BLUE,1.0,Euro 6,£199,"£26,400",119 g/km,29-09-2022,,,
62,4 Series,Petrol,2.0L,Manual,"5,130 miles",2,181 bhp,2020 (20),46.3,Coupe,BLUE,1.0,Euro 6,£199,"£26,300",141 g/km,,,,
63,2 Series,Petrol,2.0L,Automatic,"16,565 miles",2,181 bhp,2019 (19),46.3,Convertible,GREY,2.0,Euro 6,£199,"£26,100",140 g/km,,,,
64,1 Series,Petrol,3.0L,Automatic,"15,550 miles",5,335 bhp,2018 (68),39.8,Hatchback,WHITE,1.0,Euro 6,£199,"£26,000",163 g/km,,,,
65,5 Series,Hybrid Petrol,2.0L,Automatic,"58,408 miles",4,248 bhp,2018 (68),99.99,Saloon,BLACK,1.0,Euro 6,£199,"£25,800",46 g/km,18-10-2022,,,
66,X4,Diesel,3.0L,Automatic,"63,156 miles",4,255 bhp,2017 (66),47.9,Coupe,CARBON BLACK,2.0,Euro 6,£199,"£25,700",156 g/km,,BLACK NEVADA LEATHER,,
67,I3,Electric,,Automatic,"7,051 miles",5,168 bhp,2020 (20),1.0,Hatchback,WHITE,1.0,Euro 6,£199,"£25,700",,,,,
68,X3,Diesel,3.0L,Automatic,"42,646 miles",5,308 bhp,2016 (16),47.1,Estate,CARBON BLACK,2.0,Euro 6,£199,"£25,500",157 g/km,16-12-2021,BLACK NEVADA LEATHER,,
69,5 Series,Diesel,2.0L,Automatic,"42,692 miles",5,188 bhp,2018 (68),62.8,Estate,BLUE,1.0,Euro 6,£199,"£25,400",119 g/km,11-10-2022,,,
70,X1,Diesel,2.0L,Automatic,"31,901 miles",5,188 bhp,2017 (17),57.7,Estate,BLACK,2.0,Euro 6,£199,"£25,300",129 g/km,22-07-2022,,,
71,6 Series,Diesel,3.0L,Automatic,"24,634 miles",2,308 bhp,2017 (67),52.3,Coupe,WHITE,1.0,Euro 6,£199,"£25,000",143 g/km,23-08-2022,,,
72,1M,Petrol,3.0L,Automatic,"16,083 miles",5,335 bhp,2018 (68),39.8,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£25,000",163 g/km,,,,
73,4 Series,Diesel,3.0L,Automatic,"33,118 miles",4,255 bhp,2018 (67),53.3,Coupe,SILVER,2.0,Euro 6,£199,"£25,000",139 g/km,,,,
74,3 Series,Hybrid Petrol,2.0L,Automatic,"17,640 miles",4,248 bhp,2018 (18),99.99,Saloon,WHITE,1.0,Euro 6,£199,"£25,000",44 g/km,01-08-2022,,,
75,X2,Diesel,2.0L,Automatic,"21,054 miles",5,187 bhp,2018 (18),58.9,Hatchback,Misano Blue Metallic,1.0,Euro 6,£199,"£25,000",126 g/km,,BLACK DAKOTA LEATHER,,
76,1M,Petrol,3.0L,Automatic,"16,613 miles",5,335 bhp,2018 (68),39.8,Hatchback,BLUE,1.0,Euro 6,£199,"£25,000",163 g/km,19-09-2022,,,
77,1M,Petrol,3.0L,Automatic,"13,454 miles",5,335 bhp,2018 (18),39.8,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£25,000",163 g/km,30-07-2022,BLACK DAKOTA LEATHER,,
78,3 Series,Petrol,2.0L,Automatic,"16,262 miles",4,181 bhp,2018 (18),48.7,Saloon,WHITE,,Euro 6,£199,"£24,900",134 g/km,28-06-2022,,,
79,X4,Diesel,2.0L,Automatic,"40,588 miles",4,,2016 (66),,Coupe,Black,,,£199,"£24,800",136 g/km,,,,
80,X1,Diesel,2.0L,Automatic,"7,770 miles",5,187 bhp,2018 (18),60.1,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£24,700",123 g/km,16-05-2022,,,
81,1M,Petrol,3.0L,Automatic,"14,608 miles",5,335 bhp,2018 (68),39.8,Hatchback,GREY,1.0,Euro 6,£199,"£24,500",163 g/km,03-09-2022,,,
82,6 Series,Diesel,3.0L,Automatic,"41,401 miles",4,308 bhp,2016 (66),49.6,Coupe,Tanzanite Blue Individual Metallic,2.0,Euro 6,£199,"£24,500",152 g/km,08-12-2021,IVORY WHITE DAKOTA LEATHER,,
83,X4,Diesel,3.0L,Automatic,"47,714 miles",4,255 bhp,2015 (65),47.9,Coupe,BLACK SAPPHIRE,,Euro 6,£199,"£24,500",156 g/km,29-12-2021,OYSTER NEVADA LEATHER,,
84,4 Series,Petrol,2.0L,Automatic,"46,369 miles",4,248 bhp,2018 (68),48.7,Coupe,SILVER,1.0,Euro 6,£199,"£24,400",136 g/km,08-11-2022,,,
85,3 Series,Petrol,2.0L,Automatic,"22,358 miles",5,181 bhp,2019 (68),47.9,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£24,400",138 g/km,,,,
86,1M,Petrol,3.0L,Automatic,"21,676 miles",5,335 bhp,2018 (18),39.8,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£24,300",163 g/km,30-07-2022,BLACK DAKOTA LEATHER,,
87,1 Series,Petrol,1.5L,Automatic,"33,641 miles",5,138 bhp,2020 (69),40.4,Hatchback,BLUE,1.0,Euro 6,£199,"£24,200",114 g/km,,,,
88,3 Series,Petrol,2.0L,Automatic,"38,157 miles",5,181 bhp,2018 (18),47.9,Estate,ALPINE WHITE,2.0,Euro 6,£199,"£24,200",138 g/km,22-03-2022,,,
89,X4,Diesel,2.0L,Automatic,"56,381 miles",4,188 bhp,2016 (16),54.3,Coupe,ALPINE WHITE,,Euro 6,£199,"£24,100",138 g/km,19-08-2022,,,
90,X1,Petrol,1.5L,Manual,"17,243 miles",5,138 bhp,2020 (69),39.8,Estate,BLUE,1.0,Euro 6,£199,"£24,100",125 g/km,,,,
91,4 Series,Diesel,2.0L,Automatic,"37,367 miles",4,188 bhp,2018 (68),65.7,Coupe,WHITE,1.0,Euro 6,£199,"£24,100",114 g/km,,,,
92,X3,Diesel,2.0L,Automatic,"38,366 miles",5,188 bhp,2017 (67),54.3,Estate,SILVER,1.0,Euro 6,£199,"£24,100",138 g/km,27-09-2022,,,
93,2 Series,Petrol,2.0L,Automatic,"22,402 miles",2,181 bhp,2019 (69),47.9,Coupe,ALPINE WHITE,2.0,Euro 6,£199,"£24,000",135 g/km,,BLACK DAKOTA LEATHER,,
94,X1,Diesel,2.0L,Automatic,"15,790 miles",5,148 bhp,2017 (67),60.1,Estate,ATLANTIC GREY ,1.0,Euro 6,£199,"£24,000",124 g/km,19-10-2022,BLACK DAKOTA LEATHER,,
95,1M,Petrol,3.0L,Automatic,"39,450 miles",5,335 bhp,2018 (68),39.8,Hatchback,BLACK,1.0,Euro 6,£199,"£23,700",163 g/km,23-08-2022,,,
96,X1,Petrol,2.0L,Automatic,"45,093 miles",5,189 bhp,2018 (18),44.8,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£23,700",146 g/km,30-05-2022,,,
97,2 Series,Hybrid Petrol,1.5L,Automatic,"26,252 miles",5,,2018 (68),,Hatchback,WHITE,1.0,Euro 6,£199,"£23,600",57 g/km,27-09-2022,,,
98,3 Series,Diesel,2.0L,Automatic,"16,420 miles",4,188 bhp,2018 (68),64.2,Saloon,ALPINE WHITE,1.0,Euro 6,£199,"£23,500",116 g/km,,BLACK DAKOTA LEATHER,,
99,1 Series,Petrol,3.0L,Automatic,"26,740 miles",5,335 bhp,2018 (18),39.8,Hatchback,BLUE,1.0,Euro 6,£199,"£23,500",163 g/km,23-08-2022,BLACK DAKOTA LEATHER,,
100,5 Series,Diesel,2.0L,Automatic,"61,872 miles",5,188 bhp,2018 (18),62.8,Estate,GREY,1.0,Euro 6,£199,"£23,500",119 g/km,30-07-2022,,,
101,5 Series,Diesel,2.0L,Automatic,"48,882 miles",5,188 bhp,2018 (18),65.7,Estate,BLACK,1.0,Euro 6,£199,"£23,400",114 g/km,29-07-2022,,,
102,3 Series,Petrol,2.0L,Automatic,"35,589 miles",4,181 bhp,2018 (68),48.7,Saloon,GREY,1.0,Euro 6,£199,"£23,300",134 g/km,30-10-2022,,,
103,X4,Diesel,2.0L,Automatic,"48,643 miles",4,188 bhp,2015 (65),54.3,Coupe,ALPINE WHITE,,Euro 6,£199,"£23,300",138 g/km,12-07-2022,BLACK NEVADA LEATHER,,
104,3 Series,Diesel,3.0L,Automatic,"49,061 miles",5,308 bhp,2017 (17),49.6,Estate,GREY,,Euro 6,£199,"£23,100",151 g/km,01-09-2022,,,
105,2 Series,Petrol,1.5L,Automatic,"21,370 miles",5,138 bhp,2018 (68),38.7,Estate,BLACK,1.0,Euro 6,£199,"£23,000",137 g/km,,,,
106,2 Series,Hybrid Petrol,1.5L,Automatic,"14,547 miles",5,,2017 (67),,Hatchback,WHITE,1.0,Euro 6,£199,"£23,000",49 g/km,,,,
107,3 Series,Petrol,2.0L,Automatic,"27,044 miles",4,181 bhp,2018 (68),48.7,Saloon,WHITE,1.0,Euro 6,£199,"£23,000",134 g/km,29-10-2022,,,
108,X1,Petrol,2.0L,Automatic,"40,628 miles",5,189 bhp,2018 (18),44.8,Estate,GREY,1.0,Euro 6,£199,"£23,000",146 g/km,03-05-2022,,,
109,4 Series,Diesel,3.0L,Automatic,"35,769 miles",4,255 bhp,2017 (17),53.3,Coupe,BLUE,,Euro 6,£199,"£22,950",139 g/km,20-12-2021,,,
110,5 Series,Petrol,2.0L,Automatic,"65,346 miles",4,181 bhp,2018 (68),50.4,Saloon,BLUE,1.0,Euro 6,£199,"£22,900",129 g/km,,,,
111,X4,Diesel,2.0L,Automatic,"69,752 miles",4,188 bhp,2016 (66),54.3,Coupe,BLACK SAPPHIRE,2.0,Euro 6,£199,"£22,800",138 g/km,20-11-2021,BLACK NEVADA LEATHER,,
112,5 Series,Petrol,2.0L,Automatic,"36,584 miles",4,181 bhp,2019 (19),52.3,Saloon,WHITE,1.0,Euro 6,£199,"£22,800",124 g/km,,,,
113,3 Series,Hybrid Petrol,2.0L,Automatic,"49,405 miles",4,248 bhp,2018 (18),99.99,Saloon,WHITE,1.0,Euro 6,£199,"£22,700",44 g/km,09-06-2022,,,
114,2 Series,Petrol,1.5L,Automatic,"11,604 miles",5,134 bhp,2018 (18),53.3,Estate,BLACK,,Euro 6,£199,"£22,700",124 g/km,29-04-2022,,,
115,6 Series,Diesel,3.0L,Automatic,"37,727 miles",2,308 bhp,2017 (17),52.3,Coupe,BLUE,1.0,Euro 6,£199,"£22,600",143 g/km,29-11-2022,,,
116,5 Series,Diesel,2.0L,Automatic,"29,008 miles",4,188 bhp,2018 (68),68.9,Saloon,WHITE,,Euro 6,£199,"£22,500",108 g/km,05-09-2022,,,
117,4 Series,Petrol,2.0L,Automatic,"39,581 miles",4,248 bhp,2018 (18),48.7,Coupe,GREY,2.0,Euro 6,£199,"£22,500",136 g/km,11-04-2022,,,
118,1 Series,Petrol,3.0L,Automatic,"44,961 miles",5,335 bhp,2018 (18),39.8,Hatchback,GREY,1.0,Euro 6,£199,"£22,500",163 g/km,19-08-2022,BLACK DAKOTA LEATHER,,
119,2 Series,Petrol,1.5L,Automatic,"31,276 miles",5,134 bhp,2018 (18),53.3,Estate,ESTORIL BLUE,1.0,Euro 6,£199,"£22,500",124 g/km,27-08-2022,,,
120,2 Series,Hybrid Petrol,1.5L,Automatic,"28,782 miles",5,,2018 (68),,Hatchback,BLUE,1.0,Euro 6,£199,"£22,450",57 g/km,,,,
121,3 Series,Diesel,3.0L,Automatic,"51,879 miles",5,308 bhp,2017 (17),49.6,Estate,ALPINE WHITE,2.0,Euro 6,£199,"£22,400",151 g/km,19-03-2022,CORAL RED DAKOTA LEATHER,,
122,X2,Diesel,2.0L,Automatic,,5,187 bhp,2018 (68),61.4,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£22,400",121 g/km,,BLACK DAKOTA LEATHER,,
123,3 Series,Diesel,2.0L,Automatic,"27,967 miles",4,188 bhp,2018 (68),64.2,Saloon,BLACK SAPPHIRE,2.0,Euro 6,£199,"£22,400",116 g/km,06-11-2022,BLACK DAKOTA LEATHER,,
124,3 Series,Diesel,3.0L,Automatic,"37,657 miles",4,308 bhp,2017 (17),51.4,Saloon,BLACK,2.0,Euro 6,£199,"£22,400",145 g/km,15-02-2022,BLACK DAKOTA LEATHER,,
125,X2,Diesel,2.0L,Automatic,"56,271 miles",5,187 bhp,2018 (68),61.4,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£22,350",121 g/km,,,,
126,X1,Diesel,2.0L,Automatic,"47,241 miles",5,188 bhp,2017 (67),57.7,Estate,BLUE,1.0,Euro 6,£199,"£22,300",129 g/km,30-09-2022,,,
127,X4,Diesel,2.0L,Automatic,"63,755 miles",4,188 bhp,2016 (66),54.3,Coupe,MELBOURNE RED,,Euro 6,£199,"£22,300",138 g/km,17-10-2022,,,
128,X4,Diesel,2.0L,Automatic,"50,951 miles",4,188 bhp,2015 (15),54.3,Coupe,Sophisto Grey Xirallic,2.0,Euro 6,£199,"£22,300",138 g/km,09-09-2022,BLACK NEVADA LEATHER,,
129,4 Series,Diesel,2.0L,Automatic,"35,426 miles",2,188 bhp,2018 (68),65.7,Coupe,BLUE,2.0,Euro 6,£199,"£22,200",114 g/km,02-06-2022,,,
130,2 Series,Diesel,2.0L,Automatic,"17,431 miles",2,222 bhp,2018 (18),61.4,Coupe,RED,,Euro 6,£199,"£22,100",121 g/km,08-08-2022,,,
131,3 Series,Diesel,3.0L,Automatic,"39,993 miles",5,308 bhp,2015 (65),49.6,Estate,GREY,2.0,Euro 6,£199,"£22,100",151 g/km,24-06-2022,SADDLE LEATHER,,
132,5 Series,Diesel,2.0L,Automatic,"70,811 miles",4,188 bhp,2018 (18),65.7,Saloon,BLACK,1.0,Euro 6,£199,"£22,100",114 g/km,29-05-2022,,,
133,1 Series,Petrol,3.0L,Manual,"38,946 miles",5,335 bhp,2018 (18),36.2,Hatchback,GREY,1.0,Euro 6,£199,"£22,000",179 g/km,29-06-2022,BLACK DAKOTA LEATHER,,
134,2 Series,Hybrid Petrol,1.5L,Automatic,"20,161 miles",5,,2017 (67),,Hatchback,WHITE,1.0,Euro 6,£199,"£22,000",46 g/km,15-10-2022,,,
135,5 Series,Diesel,2.0L,Automatic,"35,011 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£22,000",108 g/km,,,,
136,4 Series,Diesel,2.0L,Automatic,"17,427 miles",4,188 bhp,2017 (17),65.7,Coupe,MINERAL GREY,1.0,Euro 6,£199,"£22,000",114 g/km,17-04-2022,,,
137,5 Series,Diesel,2.0L,Automatic,"65,794 miles",5,188 bhp,2018 (18),62.8,Estate,ALPINE WHITE,1.0,Euro 6,£199,"£22,000",119 g/km,12-07-2022,BLACK DAKOTA LEATHER,,
138,4 Series,Petrol,2.0L,Automatic,"41,718 miles",4,181 bhp,2018 (68),48.7,Coupe,BLUE,1.0,Euro 6,£199,"£22,000",134 g/km,14-11-2022,,,
139,X1,Diesel,2.0L,Manual,"25,674 miles",5,148 bhp,2018 (67),60.1,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£22,000",124 g/km,05-01-2022,BLACK DAKOTA LEATHER,,
140,2 Series,Diesel,2.0L,Automatic,"32,158 miles",5,187 bhp,2018 (18),47.1,Estate,GREY,2.0,Euro 6,£199,"£21,900",129 g/km,27-04-2022,,,
141,5 Series,Diesel,2.0L,Automatic,"22,910 miles",4,188 bhp,2016 (66),62.8,Saloon,CARBON BLACK,1.0,Euro 6,£199,"£21,800",119 g/km,27-07-2022,,,
142,X3,Diesel,2.0L,Automatic,"50,079 miles",5,188 bhp,2016 (16),54.3,Estate,SPACE GREY,2.0,Euro 6,£199,"£21,800",138 g/km,05-01-2022,,,
143,2 Series,Diesel,2.0L,Automatic,"29,384 miles",5,187 bhp,2018 (18),47.1,Estate,BLUE,1.0,Euro 6,£199,"£21,750",129 g/km,25-06-2022,,,
144,6 Series,Diesel,3.0L,Automatic,"41,542 miles",4,308 bhp,2015 (15),49.6,Coupe,BLACK,2.0,,£199,"£21,700",149 g/km,04-10-2022,,Euro 5,
