,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,MOT Expires,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Interior Trim,Euro Status
16,Range Rover Evoque,Diesel,2.0L,Automatic,"53,405 miles",5,178 bhp,2018 (18),55.4,Estate,134 g/km,Santorini Black metallic,29-04-2022,1.0,Euro 6,£199,"£28,500",,
17,Range Rover Evoque,Diesel,2.0L,Automatic,"35,674 miles",5,178 bhp,2016 (16),55.4,Estate,134 g/km,RED,08-03-2022,,Euro 6,£199,"£28,400",,
18,Range Rover Evoque,Diesel,2.0L,Automatic,"37,811 miles",5,178 bhp,2017 (17),55.4,Estate,134 g/km,GREY,13-07-2022,2.0,Euro 6,£199,"£28,000",,
19,Range Rover Evoque,Diesel,2.0L,Automatic,"30,376 miles",5,178 bhp,2016 (16),55.4,Estate,134 g/km,BLACK,07-09-2022,2.0,Euro 6,£199,"£27,900",,
20,Discovery Sport,Diesel,2.2L,Automatic,"31,802 miles",5,190 bhp,2015 (65),44.8,Estate,166 g/km,Santorini Black metallic,,2.0,,£199,"£27,700",,Euro 5
21,Range Rover Evoque,Diesel,2.0L,Automatic,"39,219 miles",5,178 bhp,2015 (65),55.4,Estate,134 g/km,GREY,26-07-2022,2.0,Euro 6,£199,"£26,900",,
22,Range Rover Evoque,Diesel,2.0L,Automatic,"53,867 miles",5,178 bhp,2018 (67),55.4,Estate,134 g/km,LOIRE BLUE,07-09-2022,1.0,Euro 6,£199,"£26,500",,
23,Discovery Sport,Diesel,2.0L,Automatic,"57,111 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,FUJI WHITE,14-11-2021,2.0,Euro 6,£199,"£25,900",Taurus Grained leather - Ebony,
24,Range Rover Evoque,Diesel,2.0L,Manual,"19,910 miles",5,148 bhp,2018 (67),65.7,Estate,113 g/km,BLACK,28-10-2022,2.0,Euro 6,£199,"£25,800",,
25,Discovery Sport,Diesel,2.0L,Automatic,"60,958 miles",5,178 bhp,2017 (67),53.3,Estate,139 g/km,RED,03-10-2022,1.0,Euro 6,£199,"£25,400",,
26,Range Rover Evoque,Diesel,2.0L,Manual,"49,626 miles",5,148 bhp,2018 (68),47.9,Estate,157 g/km,RED,15-08-2022,1.0,Euro 6,£199,"£25,200",,
27,Discovery Sport,Diesel,2.0L,Automatic,"62,192 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,Santorini Black metallic,30-12-2021,2.0,Euro 6,£199,"£25,100",,
28,Range Rover Evoque,Diesel,2.0L,Manual,"20,713 miles",5,148 bhp,2018 (68),48.7,Estate,154 g/km,WHITE,14-10-2022,1.0,Euro 6,£199,"£25,000",,
29,Range Rover Evoque,Diesel,2.0L,Automatic,"30,006 miles",5,178 bhp,2016 (65),55.4,Estate,134 g/km,CORRIS GREY,30-01-2022,2.0,Euro 6,£199,"£25,000",,
30,Range Rover Evoque,Diesel,2.0L,Manual,"25,718 miles",5,148 bhp,2018 (68),48.7,Estate,154 g/km,WHITE,,1.0,Euro 6,£199,"£24,950",,
31,Discovery Sport,Diesel,2.0L,Automatic,"64,895 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,Santorini Black metallic,23-02-2022,,Euro 6,£199,"£24,900",,
32,Discovery Sport,Diesel,2.0L,Manual,"59,717 miles",5,178 bhp,2017 (17),53.3,Estate,139 g/km,BLACK,27-07-2022,2.0,Euro 6,£199,"£24,800",,
33,Discovery Sport,Diesel,2.0L,Automatic,"76,487 miles",5,178 bhp,2017 (67),53.3,Estate,139 g/km,BLACK,29-09-2022,1.0,Euro 6,£199,"£24,400",,
34,Discovery Sport,Diesel,2.0L,Automatic,"54,565 miles",5,178 bhp,2016 (66),53.3,Estate,139 g/km,Farallon Black metallic,29-11-2021,2.0,Euro 6,£199,"£24,300",,
35,Discovery Sport,Diesel,2.0L,Automatic,"61,816 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,WHITE,21-09-2022,2.0,Euro 6,£199,"£24,250",,
36,Range Rover Evoque,Diesel,2.0L,Manual,"44,008 miles",5,178 bhp,2015 (65),58.9,Estate,125 g/km,RED,07-12-2021,2.0,Euro 6,£199,"£24,100",,
37,Range Rover Evoque,Diesel,2.0L,Manual,"23,413 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,Santorini Black metallic,03-10-2022,1.0,Euro 6,£199,"£24,000",,
38,Discovery Sport,Diesel,2.0L,Manual,"62,488 miles",5,150 bhp,2018 (18),57.7,Estate,129 g/km,BLACK,20-05-2022,1.0,Euro 6,£199,"£23,700",,
39,Discovery Sport,Diesel,2.2L,Automatic,"49,409 miles",5,190 bhp,2015 (15),44.8,Estate,166 g/km,CORRIS GREY,16-04-2022,,,£199,"£23,600",,Euro 5
40,Discovery Sport,Diesel,2.0L,Manual,"37,489 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,SILVER,11-09-2021,,Euro 6,£199,"£23,450",,
41,Range Rover Evoque,Diesel,2.0L,Manual,"34,821 miles",5,178 bhp,2017 (67),58.9,Estate,125 g/km,Carpathian Grey Premium Metallic,13-09-2022,1.0,Euro 6,£199,"£23,250",,
42,Discovery Sport,Diesel,2.0L,Manual,"37,496 miles",5,178 bhp,2017 (17),53.3,Estate,139 g/km,Santorini Black metallic,26-03-2022,,Euro 6,£199,"£23,000",,
43,Discovery Sport,Diesel,2.0L,Automatic,"64,008 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,BROWN,02-09-2021,2.0,Euro 6,£199,"£22,900",,
44,Range Rover Evoque,Diesel,2.0L,Manual,"42,479 miles",5,178 bhp,2017 (67),58.9,Estate,125 g/km,BLACK,27-09-2021,1.0,Euro 6,£199,"£22,700",,
45,Range Rover Evoque,Diesel,2.0L,Manual,"40,928 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,BLACK,26-09-2022,1.0,Euro 6,£199,"£22,600",,
46,Range Rover Evoque,Diesel,2.0L,Manual,"41,895 miles",5,178 bhp,2018 (18),58.9,Estate,125 g/km,SILVER,29-03-2022,1.0,Euro 6,£199,"£22,500",,
47,Range Rover Evoque,Diesel,2.0L,Manual,"30,933 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,RED,02-10-2022,1.0,Euro 6,£199,"£22,500",,
48,Range Rover Evoque,Diesel,2.0L,Manual,"54,178 miles",5,178 bhp,2017 (17),58.9,Estate,125 g/km,CORRIS GREY,07-09-2022,2.0,Euro 6,£199,"£22,400",,
49,Range Rover Evoque,Diesel,2.0L,Automatic,"77,824 miles",3,178 bhp,2016 (16),57.7,Coupe,129 g/km,WHITE,07-11-2022,2.0,Euro 6,£199,"£22,400",,
50,Range Rover Evoque,Diesel,2.0L,Manual,"34,813 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,BLACK,29-10-2022,1.0,Euro 6,£199,"£22,300",,
51,Discovery Sport,Diesel,2.0L,Manual,"36,602 miles",5,150 bhp,2015 (65),57.7,Estate,129 g/km,LOIRE BLUE,11-11-2021,2.0,Euro 6,£199,"£22,200",,
52,Range Rover Evoque,Diesel,2.0L,Manual,"34,203 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,27-09-2022,1.0,Euro 6,£199,"£22,000",,
53,Range Rover Evoque,Diesel,2.0L,Manual,"39,213 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,Santorini Black metallic,14-11-2021,1.0,Euro 6,£199,"£22,000",Ebony Grained Leather,
54,Range Rover Evoque,Diesel,2.0L,Manual,"22,131 miles",5,148 bhp,2016 (66),65.7,Estate,113 g/km,SCOTIA GREY,,2.0,Euro 6,£199,"£22,000",,
55,Discovery Sport,Diesel,2.0L,Automatic,"61,699 miles",5,178 bhp,2015 (65),53.3,Estate,139 g/km,LOIRE BLUE,15-02-2022,,Euro 6,£199,"£22,000",,
56,Range Rover Evoque,Diesel,2.0L,Manual,"28,614 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,02-05-2022,2.0,Euro 6,£199,"£22,000",,
57,Discovery Sport,Diesel,2.2L,Automatic,"37,682 miles",5,190 bhp,2015 (15),44.8,Estate,166 g/km,SILVER,15-08-2022,,,£199,"£22,000",,Euro 5
58,Range Rover Evoque,Diesel,2.0L,Automatic,"42,551 miles",5,178 bhp,2016 (16),55.4,Estate,134 g/km,AINTREE GREEN,19-09-2022,2.0,Euro 6,£199,"£21,800",,
59,Range Rover Evoque,Diesel,2.0L,Manual,"39,811 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,Santorini Black metallic,03-09-2022,1.0,Euro 6,£199,"£21,700",,
60,Range Rover Evoque,Diesel,2.0L,Manual,"31,549 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,WHITE,30-09-2022,1.0,Euro 6,£199,"£21,500",,
61,Range Rover Evoque,Diesel,2.0L,Manual,"43,677 miles",5,148 bhp,2017 (67),65.7,Estate,113 g/km,BLACK,30-10-2021,1.0,Euro 6,£199,"£21,500",,
62,Range Rover Evoque,Diesel,2.0L,Manual,"38,551 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,LOIRE BLUE,02-03-2022,,Euro 6,£199,"£21,500",,
63,Range Rover Evoque,Diesel,2.0L,Manual,"21,353 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,SILVER,27-07-2022,1.0,Euro 6,£199,"£21,500",,
64,Range Rover Evoque,Diesel,2.0L,Manual,"39,829 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,Santorini Black metallic,19-07-2022,,Euro 6,£199,"£21,400",,
65,Discovery Sport,Diesel,2.0L,Manual,"65,890 miles",5,178 bhp,2016 (16),53.3,Estate,139 g/km,GREY,12-02-2022,2.0,Euro 6,£199,"£21,300",,
66,Range Rover Evoque,Diesel,2.0L,Manual,"32,117 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,WHITE,13-09-2021,1.0,Euro 6,£199,"£21,000",,
67,Range Rover Evoque,Diesel,2.0L,Manual,"59,051 miles",5,148 bhp,2017 (66),65.7,Estate,113 g/km,BLUE,03-11-2022,,Euro 6,£199,"£20,800",,
68,Range Rover Evoque,Diesel,2.2L,Automatic,"52,442 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,RED,01-07-2022,,,£199,"£20,750","Accolade, Ivory/Lunar Oxford Leather",Euro 5
69,Range Rover Evoque,Diesel,2.0L,Manual,"37,075 miles",5,178 bhp,2016 (16),58.9,Estate,125 g/km,BLACK,09-12-2021,1.0,Euro 6,£199,"£20,700",,
70,Range Rover Evoque,Diesel,2.2L,Automatic,"62,265 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,GREEN,23-01-2022,,,£199,"£20,600",,Euro 5
71,Range Rover Evoque,Diesel,2.0L,Manual,"31,375 miles",5,178 bhp,2016 (66),58.9,Estate,125 g/km,WHITE,30-08-2022,2.0,Euro 6,£199,"£20,500",,
72,Range Rover Evoque,Diesel,2.0L,Manual,"39,640 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,LOIRE BLUE,27-01-2022,1.0,Euro 6,£199,"£20,400",,
73,Range Rover Evoque,Diesel,2.0L,Manual,"45,984 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,RED,28-07-2022,1.0,Euro 6,£199,"£20,300",,
74,Range Rover Evoque,Diesel,2.0L,Manual,"61,694 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,BLUE,01-06-2022,2.0,Euro 6,£199,"£20,250",,
75,Range Rover Evoque,Diesel,2.2L,Automatic,"54,957 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,RED,12-02-2022,2.0,,£199,"£20,250",,Euro 5
76,Range Rover Evoque,Diesel,2.0L,Manual,"66,932 miles",5,178 bhp,2016 (16),58.9,Estate,125 g/km,RED,15-03-2022,,Euro 6,£199,"£20,100",,
77,Range Rover Evoque,Diesel,2.2L,Automatic,"50,457 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,BLACK,23-07-2022,,,£199,"£20,000",,Euro 5
78,Discovery Sport,Diesel,2.0L,Manual,"56,043 miles",5,178 bhp,2015 (65),53.3,Estate,134 g/km,CORRIS GREY,22-09-2022,2.0,Euro 6,£199,"£20,000",,
79,Range Rover Evoque,Diesel,2.0L,Manual,"53,770 miles",5,148 bhp,2017 (17),65.7,Estate,113 g/km,GREY,21-08-2022,1.0,Euro 6,£199,"£20,000",,
80,Discovery Sport,Diesel,2.2L,Manual,"78,014 miles",5,190 bhp,2015 (15),46.3,Estate,162 g/km,Firenze Red metallic,03-12-2021,,,£199,"£19,500",,Euro 5
81,Range Rover Evoque,Diesel,2.0L,Manual,"40,460 miles",5,148 bhp,2015 (65),65.7,Estate,113 g/km,GREEN,20-05-2021,,Euro 6,£199,"£19,500",,
82,Range Rover Evoque,Diesel,2.0L,Manual,"71,057 miles",5,148 bhp,2016 (66),65.7,Estate,113 g/km,BLACK,31-08-2022,2.0,Euro 6,£199,"£19,400",,
83,Range Rover Evoque,Diesel,2.0L,Manual,"41,706 miles",5,148 bhp,2015 (65),65.7,Estate,113 g/km,CORRIS GREY,15-11-2022,2.0,Euro 6,£199,"£18,800",,
84,Range Rover Evoque,Diesel,2.0L,Manual,"66,753 miles",3,148 bhp,2016 (16),67.3,Coupe,109 g/km,WHITE,05-10-2022,1.0,Euro 6,£199,"£18,200",,
85,Discovery Sport,Diesel,2.0L,Manual,"68,743 miles",5,150 bhp,2018 (18),60.1,Estate,123 g/km,NARVIK BLACK,09-05-2022,1.0,Euro 6,£199,"£18,000",,
86,Range Rover Evoque,Diesel,2.2L,Automatic,"71,251 miles",5,190 bhp,2015 (15),47.1,Estate,159 g/km,GREY,07-07-2022,2.0,,£199,"£16,600",,Euro 5
